,de,en,start
33," -Wie oft muss ich dir sagen,   -Ja.  ",  How many times   ,00:02:09
34, dass es eine Sonderablage   für die Firmenleitung gibt?  ,  that there's   ,00:02:11
35, Seht euch das an!  ,  Look at that!   ,00:02:18
36, Seht euch ihr Gesicht an!  ,"  Oh, look at that face.   ",00:02:21
37," Ich höre oft, ich wäre der beste Boss.  ",  People say   ,00:02:22
38," Sie sagen: ""So einen Arbeitsplatz   hatten wir noch nie.  ","  ""God, we've never worked   ",00:02:25
39," Und du holst das Beste aus uns raus.""  ",  And you get the best   ,00:02:29
40, Das fasst es ganz gut zusammen.  ,  I think that   ,00:02:35
41, Die habe ich vom Flohmarkt.  ,  I found it at Spencer Gifts.   ,00:02:38
42, <i>Ich habe kein Geschenk für dich</i>  ,  I have no gifts for you   ,00:02:53
43," Meine Aufgabe ist,  ","  My job is to speak to clients,   ",00:03:00
44," bezüglich Menge und Qualität   von Druckerpapier,  ","  and, uh, type of...   ",00:03:06
45," ob wir sie damit beliefern können,  ","  You know, whether   ",00:03:12
46, und ob sie es bezahlen können.  ,"  whether they can, uh...   ",00:03:15
47, Und…  ,"  And, um...   ",00:03:19
48, Was geht ab?  ,  Wassuuuup?!   ,00:03:32
49, Was geht ab?  ,  Wassuuuup?   ,00:03:34
50, Was geht ab?  ,  Whasuuuup?   ,00:03:37
51, Was geht ab?  ,  Whasuuuup?   ,00:03:39
52, Was geht ab?  ,  Whasuuuuuuuuuup?   ,00:03:41
53, Was geht ab?  ,  Whassup?   ,00:03:45
54, Was?  ,  What?   ,00:03:59
55, Nichts.  ,  Nothin'.   ,00:04:01
56," Ok, gut.  ","  Okay, all right.   ",00:04:02
57, -Bis später.   -In Ordnung.  ,  See you later.   ,00:04:04
58, Bleibt sauber.  ,  Take care.   ,00:04:07
59, Zurück an die Arbeit!  ,  Back to work!   ,00:04:08
60," Keine Ahnung,   kurz vor Mittag. Das wäre gut.  ",  That would be great.   ,00:04:18
61, <i>Die Firmenleitung lässt mich machen.</i>  ,  Corporate really doesn't   ,00:04:20
62, <i>Jan Levinson Gould.</i>  ,  Jan Levenson-Gould--   ,00:04:22
63," -Jan, hallo!   -Ja.  ",  Jan! Hello!   ,00:04:23
64, Ich nenne sie Hillary Rodham Clinton.  ,  I call her   ,00:04:24
65," Also nicht in ihrer Gegenwart,  ",  Right?   ,00:04:27
66, aber ich habe keine Angst vor ihr.  ,"  Well, not because   ",00:04:29
67," Habe ich nicht,  ",  Because I'm not.   ,00:04:32
68, aber ja.  ,"  But, um, yeah.   ",00:04:34
69, Gut. Wollten Sie der Tagesordnung   etwas hinzufügen?  ,"  All right, was there anything   ",00:04:37
70, -Wie bitte? Ich… Was?   -Ich bekam keine Tagesordnung.  ,  I didn't get   ,00:04:44
71, Ich habe Ihnen heute eine gefaxt.  ,"  Well, I faxed one over   ",00:04:46
72, Wirklich? Ich habe keine…  ,"  Really? 'Cause it didn't,   ",00:04:48
73, Ich habe…   Haben wir heute ein Fax erhalten?  ,  Did we get a fax   ,00:04:50
74, Ja. Das eine.  ,"  Uh, yeah, the one--   ",00:04:53
75," Eine Firma baut   auf effektive Kommunikation, oder?  ",  Because a company runs   ,00:04:58
76," Was ist das Problem, Pam?  ","  Um, so what's the problem,   ",00:05:02
77, Warum… habe ich es nicht erhalten?  ,"  Why didn't, uh,   ",00:05:04
78," Du hast es in den Mülleimer geworfen,   den du als Sonderablage bezeichnet hast.  ",  You put it   ,00:05:07
79," Ja, das war ein Witz.  ",  Yeah!   ,00:05:14
80, Das war eigentlich ein Witz   von meinem Bruder.  ,  was actually   ,00:05:17
81," Der bezieht sich   eigentlich auf Rechnungen,  ",  And it was--   ,00:05:19
82, bei Faxen zündet er nicht.  ,  and it doesn't   ,00:05:22
83," Gerne, danke.  ","  Yeah, I would.   ",00:05:25
84," entschieden Alan und der Vorstand,   dass die Filialen  ",  Alan and the board   ,00:05:28
85, in Scranton und Stamford zu viel sind.  ,  and a Stanford branch.   ,00:05:31
86," -Oh, ok.   -Nein, Michael, keine Panik.  ","  Oh, okay.   ",00:05:33
87, Nein.  ,"  No, no, no, no.   ",00:05:35
88, -Das ist gut.   -Nein.  ,  This is good.   ,00:05:36
89," -Toll.   -Ok, keine Panik.  ","  Michael, listen,   ",00:05:38
90, Ich sprach mit Josh in Stamford.  ,  We haven't made   ,00:05:42
91, Ich sagte ihm dasselbe.  ,  I've told him   ,00:05:44
92," Sie müssen mich überzeugen,  ",  and it's up to either   ,00:05:45
93, welche Filiale bleibt.  ,  that your branch   ,00:05:47
94, Das bedeutet natürlich Personalabbau.  ,"  Okay, no problem.   ",00:05:49
95," Ich das will nicht hören, Jan.  ","  This does, however, mean that   ",00:05:51
96, Denn Personalabbau ist scheiße.  ,  Because downsizing   ,00:05:54
97, Aber so richtig scheiße.  ,  It is a real bitch.   ,00:05:56
98, Das wünsche ich Joshs Leuten nicht.  ,  And I wouldn't wish that   ,00:05:58
99," Das wünsche ich meinen Männern   und Frauen sicher auch nicht,  ",  I certainly wouldn't   ,00:06:01
100, Anwesende ausgenommen.  ,"  Or women,   ",00:06:04
101, Tut mir leid…  ,"  Sorry, uh...   ",00:06:06
102, Macht Josh sich Sorgen   um seine Verkleinerung?  ,  Is Josh concerned   ,00:06:07
103, Nicht seine eigene.  ,"  Not downsizing himself,   ",00:06:11
104, -Aber im Allgemeinen?   -Na ja…  ,  but is he concerned about   ,00:06:12
105," Frage: Wie lange haben wir Zeit, um…  ",  Question: How long   ,00:06:19
106, Todd Packer. Toller Vertreter.  ,"  Oh, Todd Packer.   ",00:06:23
107, -Darf ich rangehen?   -Nur zu.  ,  Do you mind   ,00:06:25
108," -Pac-Man.   -  <i>He, du alte Tunte.</i>  ",  Packman.   ,00:06:27
109, Das ist sehr unangemessen.  ,"  Oh, that's not...   ",00:06:30
110, <i>Kommt die alte Godzillary heute?</i>  ,"  Hey, is old Godzillary   ",00:06:32
111," Keine Ahnung, was du meinst.  ","  Um, I don't know.   ",00:06:34
112, <i>Ich wollte dir schon länger eine Frage stellen.</i>  ,"  Look, I've been meaning   ",00:06:36
113, -  <i>Passt ihr Teppich zu ihren Gardinen?</i>   -Oh mein Gott!  ,  Does the carpet   ,00:06:39
114, Das ist abscheulich.  ,  That's...horrifying.   ,00:06:44
115, Schrecklich.  ,  And horrible.   ,00:06:48
116," Meinen Sie, diese Sache könnte  ",  So do you think we could   ,00:06:52
117, Ich will keine unnötige Panik.  ,  I don't wanna worry people   ,00:06:55
118," Nein, absolut.  ","  No, absolutely.   ",00:06:57
119, Unter meiner Führung   bleibt das natürlich unter uns.  ,  it will not   ,00:06:59
120, Was bedeutet Personalabbau eigentlich?  ,  [whispering] So what does   ,00:07:03
121," Ihr müsst euren Lebenslauf aktualisieren,   so wie ich es mache.  ",  [whispering] You guys   ,00:07:07
122," Ich wette, ich muss gehen.  ",  just like I'm doing.   ,00:07:09
123, Wahrscheinlich trifft es mich.  ,  It's probably gonna be me.   ,00:07:11
124, -Ich habe eine wichtige Frage.   -Ja?  ,  I have an important   ,00:07:15
125, Gehst du Sonntag zu Angelas Katzenparty?  ,  Yes?   ,00:07:17
126, <i>Sage ich es ihnen? Ich sage es ihnen nicht.</i>  ,  Am I gonna tell them?   ,00:07:23
127, <i>Das halte ich für sinnlos.</i>  ,  I don't see   ,00:07:25
128," Als ein Arzt sagt man doch   dem Patienten nicht, dass er Krebs hat.  ","  As a doctor, you would not   ",00:07:26
129, Hallo.  ,  Hey!   ,00:07:30
130, Hallo.  ,  - Hey!   ,00:07:31
131, Schuldig im Sinne der Anklage.  ,  Guilty!   ,00:07:33
132, Ryan Howard von der Zeitarbeitsagentur.  ,  Ryan Howard   ,00:07:35
133, Ich soll heute hier anfangen.  ,  Daniqua sent me down   ,00:07:37
134," Howard wie Mo Howard,   von den Three Stooges.  ","  Howard, like Moe Howard,   ",00:07:39
135," -Genau.   -Schau mal, so macht Mo.  ","  Watch this, this is Moe.   ",00:07:41
136," Quak, Quak, Quak, Muh!  ",  Nyuck! Nyuck! Nyuck!   ,00:07:43
137, Alles klar. Three Stooges. Gib mir fünf.  ,  High five!   ,00:07:48
138, Das ist ein Männerwitz.  ,"  It's a guy thing, Pam.   ",00:07:51
139, Ich bin quasi ein Komiker.  ,  I'm sort of   ,00:07:52
140, Ich bin Hitler.  ,  I'm Hitler!   ,00:08:04
141, Adolf Hitler.  ,  Adolf Hitler.   ,00:08:05
142," Ich glaube, es gäbe Schlimmeres,   als hier entlassen zu werden.  ",  I don't think it would be   ,00:08:09
143, Denn dann könnte ich…  ,  Because then I might--   ,00:08:13
144," Wenige Mädchen träumen davon,   Rezeptionistin zu werden.  ","  I just, I don't think   ",00:08:15
145," Ich male gerne,  ","  Um, I like to do   ",00:08:20
146, hauptsächlich Aquarelle.  ,  A few oil pencil.   ,00:08:23
147, Jim findet sie gut.  ,  Jim thinks   ,00:08:28
148," Dunder Mifflin, hier ist Pam.  ","  Dunder Mifflin,   ",00:08:30
149, Klar.  ,"  Sure. Uh, Mr. Davis,   ",00:08:32
150, Mir ist etwas dazwischengekommen.  ,"  Yeah, something just came up.   ",00:08:35
151, Vielen Dank.  ,  Thank you very much.   ,00:08:36
152," Dwight, was soll das?  ","  Dwight,   ",00:08:38
153, -Was?   -Was machst du?  ,  - What?   ,00:08:40
154, Ich räume nur den Schreibtisch auf.  ,  Just clearing my desk.   ,00:08:41
155, -Es ist nicht auf deinem Schreibtisch.   -Es ragt über die Kante.  ,  It's not on your desk.   ,00:08:43
156," Ein Wort, zwei Silben: Demarkation.  ","  One word, two syllables:   ",00:08:47
157, -Das geht nicht.   -Warum nicht?  ,  - You can't do that.   ,00:08:58
158, Sicherheitsrisiko. Ich könnte stürzen   und mir ein Organ durchbohren.  ,  Safety violation.   ,00:09:02
159, Deshalb stört mich dieser Personalabbau  ,"  See, this is why   ",00:09:12
160, -überhaupt nicht.   -Personalabbau?  ,  just doesn't bother me.   ,00:09:14
161, Personalabbau?  ,  Downsizing?   ,00:09:16
162, Ich habe kein Problem damit.  ,"  Yeah, I have   ",00:09:17
163," Ich empfehle Personalabbau,  ",  I have been   ,00:09:19
164, seit ich hier angefangen habe.  ,  since I first got here.   ,00:09:20
165, Schon in meinem Bewerbungsgespräch.  ,  I even brought it up   ,00:09:23
166," Von mir aus, immer her damit.  ",  I say bring it on.   ,00:09:25
167, Da wären immer noch   die Nachrichten von gestern.  ,  You just still have   ,00:09:29
168, Es ist alles unter Kontrolle.  ,"  Relax, everything's   ",00:09:31
169, Oh ja. Das ist wichtig.  ,"  Uh, yeah, uh, yeah, yeah.   ",00:09:33
170," Das ist so wichtig, ich sollte losrennen   und es sofort beantworten.  ","  Oh, this is so important   ",00:09:37
171, Was?  ,  What?   ,00:10:00
172, Der Sechs-Millionen-Dollar-Mann!  ,"  ""Six Million Dollar Man""!   ",00:10:03
173, Steve Austin.  ,  Steve Austin!   ,00:10:04
174," Das wäre ein gutes Gehalt für mich,   meinst du nicht auch?  ","  Actually, that would be   ",00:10:06
175, Sechs Millionen Dollar?  ,  $6 million?   ,00:10:09
176, Nachricht an Jan:  ,  Memo to Jan:   ,00:10:10
177, Tun wir das nicht alle?  ,  Don't we all?   ,00:10:13
178," Wenn du mit dem Gehalt unzufrieden bist,  ",  If you're unhappy   ,00:10:19
179, wende dich an die Personalabteilung.  ,  maybe you should   ,00:10:21
180," Ok, aber nicht heute, ok?  ",  Okay?   ,00:10:24
181," Pam, sei einfach professionell.  ","  Pam, just...   ",00:10:26
182, Die Leute respektieren mich.  ,  I think I garner   ,00:10:36
183, Alle Angestellten von Dunder Mifflin:  ,  Attention all Dunder Mifflin   ,00:10:37
184, Gleich gibt es ein Meeting   im Konferenzraum.  ,  We have a meeting   ,00:10:39
185," <i>Menschen, die ich respektiere, meine Helden,</i>  ","  People I respect,   ",00:10:43
186," das wären Bob Hope,  ",  Bob Hope.   ,00:10:45
187, auf jeden Fall.  ,  Definitely.   ,00:10:53
188, Bono.  ,  Bono.   ,00:10:55
189, Und Gott…  ,"  Uh, and probably God...   ",00:10:59
190, …wäre wahrscheinlich der vierte.  ,  would be the fourth one.   ,00:11:02
191," Ich glaube, all diese Leute haben die Welt  ",  And I just think   ,00:11:05
192," auf so viele Arten verbessert,  ",  in so many ways   ,00:11:10
193, dass es…  ,"  that it's, um...   ",00:11:14
194, Da fehlen einem die Worte.  ,  it's really beyond words.   ,00:11:16
195, Einfach unermesslich.  ,  [mispronouncing]   ,00:11:21
196," Ich weiß, es kursieren Gerüchte,   und ich wollte einfach…  ","  Now, I know there are   ",00:11:23
197," Ich bin Assistenzmanager,   sag es mir zuerst.  ",  I'm Assistant Regional Manger.   ,00:11:26
198," -Assistent des Regionalmanagers.   -Ja, ok.  ",  Assistant   ,00:11:29
199, Sagst du es mir? Ganz leise.  ,"  Okay, um, can you   ",00:11:31
200, -Ich sage es allen.   -Bitte?  ,  I'm just about   ,00:11:34
201, -Soll ich es ihnen sagen?   -Du weißt ja gar nichts.  ,  Okay?   ,00:11:37
202, -Also…   -Sag es. Ich erlaube es.  ,"  Okay, you tell them.   ",00:11:41
203, -Ich brauche keine Erlaubnis.   -Nur zu.  ,  I don't need--   ,00:11:42
204," Die Firmenleitung hielt es für angemessen,   mir ein Ultimatum zu stellen.  ",  Corporate has   ,00:11:44
205, -Was?   -Und Jan…  ,"  And, uh, Jan is thinking   ",00:11:50
206," Sie überlegt, entweder unsere Filiale   oder die in Stamford abzubauen.  ",  either the Stanford branch   ,00:11:52
207, Diese Filiale könnte geschlossen werden.  ,  I heard they might be closing   ,00:11:56
208," Ich bin neu hier, keine Ahnung.  ",  This is my first day.   ,00:12:02
209," Was ist, wenn sie uns kündigen?  ","  Yeah, but, Michael,   ",00:12:03
210, Das wird nicht passieren.  ,  Not gonna happen.   ,00:12:05
211," Ich habe sehr wohl   darauf Einfluss, Stanley, ok?  ","  It won't be out of my hands,   ",00:12:08
212, Das verspreche ich.  ,  I promise you that.   ,00:12:11
213, Kannst du das?  ,"  Oh, can you promise that?   ",00:12:12
214, -Beim Leben seiner Mutter.   -Na ja…  ,  On his mother's grave.   ,00:12:13
215, Nein.  ,  No!   ,00:12:16
216," Offen gesagt, bin ich etwas beleidigt,   dass du da nachfragen musst.  ","  And, frankly,   ",00:12:19
217, So was müssen wir wissen.  ,  It's just   ,00:12:23
218, Ich weiß. Warte mal kurz.  ,  I-I know.   ,00:12:25
219," Ich glaube, Pam möchte etwas sagen.  ","  Pam, you, uh...   ",00:12:28
220," Du hast so ausgesehen,   als ob du etwas fragen wolltest.  ",  had a look that you   ,00:12:30
221," Ich war bei dem Meeting   mit Jan dabei, sie meinte,  ",  I was in the meeting   ,00:12:37
222, dass diese Filiale dichtmachen könnte.  ,  that gets the axe.   ,00:12:40
223, Bist du dir da sicher?  ,  (Stanley)   ,00:12:42
224," Pam, vielleicht hältst du dich besser,  ","  Uh, maybe   ",00:12:45
225," was solche Besprechungen betrifft,  ",  to the ongoing confidentiality   ,00:12:47
226," Pam, Information ist Macht.  ","  Pam, information is power.   ",00:12:50
227," Du kannst also nicht sicher sagen,   ob es sie oder uns trifft.  ",  (Stanley)   ,00:12:53
228," Nein, Stanley.  ","  No, no, no, no.   ",00:12:56
229," Nein, du hast mich nicht mit ihr erlebt.  ",  You did not see me   ,00:12:58
230," Ich sagte ihr,  ","  I said if,   ",00:13:00
231," wenn die Firma angelaufen kommt,   und sich hier einmischen will,  ",  wants to come in here   ,00:13:02
232, müssen sie zuerst an mir vorbei.  ,  then they're gonna   ,00:13:05
233, Versteht ihr?  ,  Right?   ,00:13:07
234," aber hier bin ich das Familienoberhaupt,  ",  But I'm the head   ,00:13:10
235, und an meine Kinder   lasse ich niemanden Hand anlegen.  ,  and you ain't gonna be   ,00:13:12
236," Wenn ich gehen würde, was sollte ich dann  ","  If I left,   ",00:13:22
237, mit all diese nutzlosen Informationen   in meinem Kopf anstellen?  ,  all this useless   ,00:13:25
238," Pams Lieblingsjoghurt,  ","  Um, Pam's favorite   ",00:13:33
239, <i>Jim hat Beerenmix gesagt?</i>  ,  Jim said mixed berries?   ,00:13:41
240, Vorsicht vor dem Kerl hier.  ,"  Whoa, whoa, whoa, whoa.   ",00:13:50
241," Dwight Schrute am Start.   Das ist Ryan, die neue Aushilfe.  ",  Dwight Schrute   ,00:13:52
242, -Was geht?   -Sehr erfreut.  ,  - What's up?   ,00:13:55
243, Stell dich vor.  ,  Introduce yourself.   ,00:13:56
244," Dwight Schrute, Assistenzmanager.  ","  Uh, Dwight Schrute,   ",00:13:57
245, Assistent des Regionalmanagers.  ,  Assistant   ,00:13:59
246," Dwight, erzähl ihm von dem Kung Fu,  ","  So, uh, Dwight,   ",00:14:02
247, und dem Auto und so weiter.  ,  and the car and everything.   ,00:14:04
248, Für 1.200 gekauft.   Er ist jetzt 3.000 wert.  ,"  I bought it for 1,200,   ",00:14:09
249, -Das ist sein Gewinn.   -Ja.  ,  That is his profit.   ,00:14:11
250," Neuer Motor, Aufhängung, Lackierung…   Ich habe Fotos.  ","  Yeah, uh, new engine,   ",00:14:13
251," Oh, verdammt!  ",  Oh! Damn it!   ,00:14:17
252," -Jim.   -Ok, Auszeit.  ",  Damn it! I--   ,00:14:19
253, Das Gericht tagt. Was ist das Problem?  ,  What is the problem here?   ,00:14:21
254, Er hat mein Zeug wieder in Pudding getan!  ,  He put my stuff   ,00:14:24
255," Zum dritten Mal schon,   lustiger wird's nicht, Jim.  ","  This is the third time,   ",00:14:30
256, Es ist ganz ok hier.  ,  the first two times   ,00:14:32
257," Aber manchmal nutzen die Leute es aus,  ","  Uh, but people sometimes   ",00:14:34
258, wenn es so entspannt zugeht.  ,  because it's so relaxed.   ,00:14:36
259, Am Wochenende bin ich   als Hilfssheriff tätig.  ,  I'm a volunteer sheriff's   ,00:14:38
260, Da darf niemand Mist bauen.  ,  And you cannot   ,00:14:42
261, -Was ist das?   -Mein Tacker.  ,  [laughing]   ,00:14:46
262, Nein! Nicht rausnehmen.  ,  That's my stapler.   ,00:14:48
263," In dieser Welt verhungern Menschen,  ",  because there are   ,00:14:52
264, was ich schlimm finde.  ,"  and, which I hate,   ",00:14:54
265, Und das wäre eine Verschwendung.  ,  and it it is a waste   ,00:14:55
266, Weißt du was? Du bist Zeuge.  ,  You know what?   ,00:14:56
267, Kannst du ihn verwarnen?  ,"  Can you reprimand him, please?   ",00:14:58
268," Wer sagt, dass ich es war?  ",  How do you know it was me?   ,00:15:01
269, Bestrafst du ihn jetzt?  ,  Are you gonna   ,00:15:04
270," Bestrafen, wie pervers!  ","  Ooh, discipline, kinky!   ",00:15:05
271," Ok, ich sag euch was, Jungs.  ","  All right, here's   ",00:15:07
272," Spielt man einen Streich,  ",  Thing about a practical joke   ,00:15:10
273," sollte man wissen, was angemessen ist,  ",  when to start   ,00:15:11
274, -Ja.   -Und… Ja.  ,"  And, yeah,   ",00:15:14
275," Jim, an diesem Punkt solltest du aufhören,  ","  Jim, now is the time   ",00:15:16
276, Dwights Sachen   in Götterspeise einzugießen.  ,  into Jell-O.   ,00:15:19
277," Dwight, tut mir leid.  ","  Dwight, I'm sorry,   ",00:15:25
278, Ich habe dich immer vergöttert.  ,  I have always been   ,00:15:26
279, So läuft das hier.  ,  That's the way   ,00:15:33
280, Immer noch einen draufsetzen.  ,  It just kind of goes   ,00:15:35
281," He, ja, der Neue!  ","  Oh, hey!   ",00:15:39
282, Voll ins Schwarze getroffen!  ,  New guy!   ,00:15:41
283," Ok, das ist ja toll.   Was mir am meisten Sorge bereitet,  ","  Okay, that's great.   ",00:15:43
284, ist der Schaden am Firmeneigentum.  ,  is damage   ,00:15:46
285, Weiter nichts.  ,  That's all.   ,00:15:49
286, Pudding.  ,  Pudding.   ,00:15:54
287," Pudding, ich überlege mir noch  ",  Putting.   ,00:15:56
288," Hättest du Lust, am Wochenende   etwas trinken zu gehen?  ",  Do you like going out   ,00:16:02
289, Ja.  ,  Yeah.   ,00:16:06
290, Deshalb gehen wir ja alle aus.  ,"  Well, that's why   ",00:16:07
291, Um am Wochenende was zu trinken.  ,  So that we can have   ,00:16:09
292, Wann gehen wir aus?  ,  So when are we going out?   ,00:16:10
293," -Keine Ahnung. Heute Abend. Hoffentlich.   -Ok, ja.  ",  I don't know.   ,00:16:11
294, -He. Wie geht's?   -Hallo.  ,"  Hey, man.   ",00:16:17
295," -He, Baby.   -Hallo.  ","  - Hi, baby.   ",00:16:19
296, Roy ist mein Verlobter.  ,"  Uh, Roy is my fiance.   ",00:16:20
297, Wir sind inzwischen schon  ,  We've been engaged   ,00:16:22
298, bald drei Jahre verlobt  ,  about three years.   ,00:16:25
299," und wollten im September heiraten,  ","  And, uh, we were supposed   ",00:16:26
300," aber ich glaube,   wir heiraten jetzt im Frühling.  ",  but I think we're gonna   ,00:16:29
301," Stört es dich,   wenn ich mit denen was trinken gehe?  ",  Do you mind if I go out   ,00:16:33
302," Nein, komm schon.  ","  Uh, no, no,   ",00:16:37
303, Gehen wir nach Hause.  ,"  Let's get out of here,   ",00:16:38
304, Ok.  ,"  Okay, um, I'm gonna be   ",00:16:40
305, Ich brauche noch ein paar Minuten.   Es ist erst 17:20 Uhr.  ,  It's only 20 past 5:00.   ,00:16:42
306, Ich muss Faxe absenden.  ,  I still have   ,00:16:45
307," Weißt du was? Du solltest mitkommen,  ",  You know what?   ,00:16:51
308," denn weißt du,  ","  Because, you know,   ",00:16:54
309," das könnte eine gute Gelegenheit sein,  ",  and it could be   ,00:16:55
310, uns außerhalb des Büros kennenzulernen.  ,  see what people are like   ,00:16:57
311, Das könnte nett werden.  ,"  You know, I think   ",00:16:59
312," -Nein, das klingt gut.   -Oh, nein.  ","  No, it sounds good.   ",00:17:00
313," -Aber im Ernst, wir müssen los.   -Klar.  ","  Seriously,   ",00:17:03
314," -Sag ihr, wir reden später.   -Klar.  ",  Just tell her   ,00:17:20
315," Ok, Mann, super. Wird gemacht.  ",  Will do.   ,00:17:22
316," Ob ich glaube,   dass ich zur Hochzeit eingeladen werde?  ",  (Jim)   ,00:17:28
317, Wir arbeiten hart. Wir haben Spaß.  ,"  We work hard,   ",00:17:42
318," Manchmal blödeln wir, statt zu arbeiten.  ",  Sometimes we play hard   ,00:17:44
319," Ich glaube,  ","  Um, I guess the atmosphere   ",00:17:48
320," in erster Linie ein Freund bin,  ",  is that I'm a friend first   ,00:17:51
321, und erst in zweiter der Boss.  ,  and a boss second.   ,00:17:53
322," Vermutlich, ja.  ","  Probably, uh--   ",00:17:55
323, In dritter ein Entertainer. Einen Moment.  ,  Entertainer third.   ,00:17:56
324," Hey, willst du,  ","  Oh, hey, do you, uh, do you like   ",00:18:01
325, magst du das Jamie Kennedy Experiment?  ,  Yeah.   ,00:18:03
326, -Ja?   -Versteckte Kamera und so was?  ,"  ""Punk'd"" and all   ",00:18:05
327," Ok, du bist jetzt mein Komplize.  ","  Okay, um...   ",00:18:07
328, -In Ordnung.   -Überlass das mir.  ,  Just go along   ,00:18:10
329," Lass mich nicht auflaufen, ja? Herein.  ","  Don't pimp me, all right?   ",00:18:12
330," Die Firmenleitung sagte, dass ich nicht…  ","  So, uh, corporate just   ",00:18:14
331," -Ein Fax für dich.   -Oh, danke. Pam.  ","  Oh, thank you, Pam.   ",00:18:17
332," Pam, kommst du mal kurz rein?  ","  Pam, can you come in here   ",00:18:19
333, Nimm doch Platz.  ,  Just have a seat.   ,00:18:21
334, Ich wollte dich eh herbitten.  ,  I was gonna   ,00:18:22
335," müssen wir Personal abbauen,  ",  there's going to be   ,00:18:28
336," und du hast mir mein Leben   so viel einfacher gemacht,  ",  And you have made   ,00:18:30
337," insofern, dass ich dich   als erstes entlassen muss.  ",  in that I am going   ,00:18:35
338," Was, warum denn?  ",  What? Why?   ,00:18:40
339," Na ja, wegen des Diebstahls.  ",  Why?   ,00:18:42
340, Und des Stehlens.  ,  And stealing.   ,00:18:44
341, Stehlen?  ,  Stealing?   ,00:18:45
342, Notizzettel.  ,  Post-it notes.   ,00:18:50
343, -Notizzettel?   -Ja.  ,  - Post-it notes?   ,00:18:52
344, Was sind die wert? 50 Cent?  ,"  What are those worth,   ",00:18:54
345," Wenn man 1.000 Notizzettel   für 50 Cent das Stück klaut,  ","  50 cents, yeah.   ",00:18:56
346, macht man damit Gewinn.  ,"  and, you know, you've   ",00:18:59
347," Damit treibst du die Firma   in die Pleite, Pam.  ","  You know, gonna run us   ",00:19:02
348, Ist das dein Ernst?  ,  Are you serious?   ,00:19:05
349, Ja.  ,"  Yeah, I, um...   ",00:19:08
350," ich habe nicht mal   eine Büroklammer geklaut,  ","  I mean, I've never even   ",00:19:13
351, und jetzt feuerst du mich.  ,  and now you're firing me.   ,00:19:15
352," Das Beste daran ist,  ",  And the best thing about it   ,00:19:18
353," dass wir dir   keine Abfindung zahlen müssen,  ",  we're not gonna have   ,00:19:20
354, wegen groben Fehlverhaltens.  ,  Because that is   ,00:19:24
355, Räum einfach deinen Schreibtisch.  ,  So just clean out your desk.   ,00:19:27
356," Verarscht, du Lappen!  ","  You've been ""Xed,"" punk!   ",00:19:48
357, Überraschung. Das war ein Witz.  ,  Surprise!   ,00:19:51
